image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742295833288-432787689.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742295833288-432787689.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742298108648-639286432.jpg,ok,98CD-091.57,,0.881,"[781, 653, 896, 738]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742298841105-860909616.jpg,ok,36H-04181,,0.947,"[756, 2209, 1361, 2535]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742299000222-153598357.jpg,ok,98C-09157,,0.865,"[302, 870, 516, 1003]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742299344668-910424332.jpeg,ok,20DH-01261,,0.894,"[130, 363, 203, 401]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742300923575-472304829.jpg,ocr_empty,,M,0.940,"[171, 757, 667, 891]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742300923575-472304829.jpg,All OCR texts are empty. Rejected raw OCR: M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742301105309-882938612.jpg,ok,98H-03326 | , | M0DB0808000,0.697 | 0.562,"[264, 310, 355, 366] | [186, 121, 441, 179]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742301113449-284003803.jpg,ocr_empty,,29D2365M,0.885,"[651, 2359, 1534, 2604]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742301113449-284003803.jpg,All OCR texts are empty. Rejected raw OCR: 29D2365M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742302085809-543274945.jpg,ok,43AE-00765,,0.869,"[575, 568, 659, 623]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742310538144-426676681.jpeg,ok,20H-00002,,0.915,"[121, 365, 207, 410]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742311202929-877628277.jpeg,ok,29K-02300,,0.939,"[101, 360, 240, 392]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742326728499-804276811.jpg,ocr_empty,,44100,0.903,"[550, 540, 665, 609]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742326728499-804276811.jpg,All OCR texts are empty. Rejected raw OCR: 44100
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742330468609-318200430.jpeg,ok,20CT-48381 | , | 7,0.814 | 0.301,"[95, 370, 226, 400] | [87, 18, 226, 59]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742331514301-559869065.jpeg,ok,89C-24515,,0.906,"[113, 367, 196, 418]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742332735588-594732536.jpeg,ok,89C-24534,,0.923,"[122, 364, 193, 409]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742341564278-143030813.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742341564278-143030813.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742348277633-176918284.jpeg,ok,37H-09711,,0.965,"[67, 322, 273, 429]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742348751430-875333626.jpeg,ok,37C-46985,,0.805,"[107, 326, 244, 403]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742349806767-437338682.jpg,ok,37HD-97114,,0.968,"[542, 704, 797, 845]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742351040752-292830734.jpg,ok,37C-52880,,0.939,"[728, 2086, 1791, 2687]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742351450793-947692297.jpg,ok,37C-32078,,0.860,"[445, 1501, 885, 1758]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742353191912-834917288.jpg,ok,14C-36942 | , | 0,0.757 | 0.406,"[1240, 2813, 1698, 3118] | [10, 2803, 589, 3129]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742353375749-245015305.jpeg,ok,37C-46597,,0.921,"[131, 357, 210, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742357146027-702658709.jpeg,ok,99H-00256,,0.922,"[120, 349, 218, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742358334021-251488915.jpeg,ok,37D-17887,,0.929,"[52, 344, 260, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742362198872-2380214.jpg,ok,37MH-02457,,0.975,"[609, 2161, 1617, 2657]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742366139512-235463062.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742366139512-235463062.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742367871765-366265651.jpg,ok,37CC-45720,,0.936,"[190, 1268, 1189, 1814]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742368464214-964702782.jpg,ok,37C-20568,,0.971,"[499, 2086, 1690, 2642]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742368937208-903492580.jpg,ok,98C-06485,,0.894,"[276, 871, 412, 948]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742368991756-303934176.jpeg,ok,29D-00083,,0.721,"[112, 361, 234, 393]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742368992756-728554569.jpg,ok,29CD-008.83 | , | MNM200083,0.742 | 0.638,"[729, 2327, 1350, 2516] | [707, 2314, 1740, 2519]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742369057467-540219209.jpg,ocr_empty,,T241,0.897,"[502, 2320, 1600, 2583]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742369057467-540219209.jpg,All OCR texts are empty. Rejected raw OCR: T241
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742370240885-946084403.jpeg,ok,20C-30918,,0.871,"[109, 366, 207, 416]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742374878744-739128845.jpeg,ocr_empty,,00DD14P4221,0.553,"[141, 342, 242, 404]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742374878744-739128845.jpeg,All OCR texts are empty. Rejected raw OCR: 00DD14P4221
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742375107807-324904246.jpeg,ocr_empty,,43SG00051L1,0.472,"[0, 276, 327, 451]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742375107807-324904246.jpeg,All OCR texts are empty. Rejected raw OCR: 43SG00051L1
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742375556218-723982664.jpeg,ok,20CC-28645,,0.884,"[120, 365, 222, 414]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742375640798-129515397.jpeg,ok,35H-02196,,0.918,"[128, 360, 202, 398]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742376774625-537191376.jpeg,ok,37C-20568,,0.982,"[63, 329, 278, 435]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742378003810-267289152.jpeg,ok,37H-05078,,0.963,"[95, 358, 244, 433]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742380598094-252988186.jpeg,ok,36H-03695,,0.959,"[123, 356, 209, 401]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742382997260-429792608.jpeg,ok,35G-00051,,0.853,"[128, 347, 222, 401]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742384264107-144096275.jpg,ok,99CL-19484,,0.958,"[330, 537, 621, 695]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742384347752-331729319.jpeg,ocr_empty, | ,M2D0083M | 72BC00000837M,0.674 | 0.268,"[105, 366, 303, 411] | [113, 363, 300, 430]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742384347752-331729319.jpeg,All OCR texts are empty. Rejected raw OCR: M2D0083M | 72BC00000837M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742385208569-262622625.jpg,ok,98BC-31414,,0.967,"[239, 407, 583, 607]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742385808228-501408374.jpg,ok,20C-20214,,0.971,"[156, 779, 447, 919]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742386114771-508122381.jpeg,ok,29K-02399,,0.884,"[88, 365, 252, 411]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742387206364-338753396.jpg,ocr_empty,,8336,0.259,"[271, 57, 909, 486]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742387206364-338753396.jpg,All OCR texts are empty. Rejected raw OCR: 8336
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742387917978-910500858.jpeg,ocr_empty,,889C25005,0.947,"[116, 368, 192, 412]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742387917978-910500858.jpeg,All OCR texts are empty. Rejected raw OCR: 889C25005
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742389900545-481440862.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742389900545-481440862.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742398866535-579172882.jpeg,ok,20C-06170,,0.901,"[117, 360, 205, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742400663757-701357235.jpg,ocr_empty,,0DMM,0.505,"[84, 2182, 2059, 2647]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742400663757-701357235.jpg,All OCR texts are empty. Rejected raw OCR: 0DMM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742403655992-574065493.jpeg,ok,20C-06856,,0.926,"[128, 367, 211, 411]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742404423764-382031575.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742404423764-382031575.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742405964047-583448607.jpg,ok,34C-1117,,0.769,"[394, 758, 547, 849]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742407363170-750502284.jpeg,ok,20C-06244,,0.929,"[121, 369, 201, 411]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742416089266-582411011.jpeg,ok,20CM-06769,,0.933,"[130, 362, 210, 407]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742418664970-228748854.jpg,ok,20C-06782,,0.944,"[881, 2327, 1343, 2572]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742424682308-802006012.jpg,ok,20C-04080,,0.959,"[689, 2318, 1437, 2711]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742430403380-937720162.jpeg,ok,37H-09040,,0.711,"[21, 315, 321, 466]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742432649911-851680071.jpg,ok,37H-00453,,0.972,"[631, 2176, 1478, 2618]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742433652824-137897632.jpg,ok,37HD-45888,,0.904,"[327, 1921, 1911, 2732]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742435607626-516783417.jpg,ok,89E-00553,,0.921,"[1401, 3031, 1845, 3275]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742435727871-240178929.jpeg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742435727871-240178929.jpeg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742437250414-985562644.jpeg,ocr_empty,,MMZDC06244,0.905,"[135, 352, 205, 389]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742437250414-985562644.jpeg,All OCR texts are empty. Rejected raw OCR: MMZDC06244
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742437570307-400239428.jpeg,ok,37HT-06497,,0.632,"[0, 273, 328, 407]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742440170931-724103841.jpg,ocr_empty,,31TC269MM,0.935,"[680, 2372, 1570, 2597]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742440170931-724103841.jpg,All OCR texts are empty. Rejected raw OCR: 31TC269MM
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742441177399-550559773.jpeg,ok,37H-09040,,0.706,"[41, 256, 310, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742443565158-3868433.jpeg,ok,89E-00553,,0.896,"[126, 348, 214, 393]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742446170920-580688025.jpg,ok,36T-7676,,0.937,"[579, 1999, 1305, 2187]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742447179131-241299721.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742447179131-241299721.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742449237990-408052888.jpg,ocr_empty,,MMMMM201827M,0.927,"[552, 2383, 1587, 2663]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742449237990-408052888.jpg,All OCR texts are empty. Rejected raw OCR: MMMMM201827M
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742451476617-728436953.jpeg,ocr_empty,,437H488,0.924,"[116, 344, 225, 400]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742451476617-728436953.jpeg,All OCR texts are empty. Rejected raw OCR: 437H488
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742451678507-569670516.jpg,ok,27D-9052,,0.978,"[1076, 2264, 2294, 2535]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742451760800-142561179.jpg,ok,37HM-06978,,0.978,"[483, 2322, 1969, 3096]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742452391992-587492556.jpg,ok,29H-00542,,0.941,"[628, 2070, 1978, 2758]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742454300511-349582468.jpg,ok,37CC-51885,,0.938,"[685, 2294, 1515, 2726]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742456244134-100629950.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742456244134-100629950.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742456267753-114742711.jpeg,ocr_empty,,313269,0.885,"[117, 364, 225, 394]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742456267753-114742711.jpeg,All OCR texts are empty. Rejected raw OCR: 313269
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742456720689-723104312.jpg,ocr_empty,,12DH100059,0.794,"[709, 2322, 1337, 2683]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742456720689-723104312.jpg,All OCR texts are empty. Rejected raw OCR: 12DH100059
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742457900743-468605209.jpg,ok,37C-2078,,0.984,"[549, 2055, 1743, 2622]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742462753347-980891780.jpg,ok,29D-20069,,0.815,"[704, 2406, 1557, 2641]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742463539512-345506417.jpg,ocr_empty,,28H70E564,0.767,"[1747, 1803, 2084, 1973]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742463539512-345506417.jpg,All OCR texts are empty. Rejected raw OCR: 28H70E564
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742464686442-687008153.jpg,ok,37H-07384,,0.892,"[749, 2314, 1402, 2678]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742469080993-432466097.jpg,ok,29D-4065,,0.947,"[781, 2496, 1562, 2707]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742471532738-672508878.jpg,ocr_empty,,9B317,0.865,"[222, 874, 663, 983]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742471532738-672508878.jpg,All OCR texts are empty. Rejected raw OCR: 9B317
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742473956581-702819786.jpg,ok,37H-06520,,0.944,"[752, 2265, 1349, 2586]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742475687347-887733852.jpg,ok,43AC-37279,,0.688,"[573, 599, 671, 656]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742475770584-723726137.jpeg,ok,37H-00721,,0.819,"[123, 345, 213, 397]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742477334676-726134622.jpg,ok,34A-14255,,0.862,"[557, 688, 675, 724]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742478320051-771272059.jpg,ok,37CD-002.28,,0.869,"[660, 2233, 1305, 2597]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742479213800-533604686.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742479213800-533604686.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742491772294-297882569.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742491772294-297882569.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742491994698-590569793.jpg,ok,73H-00488,,0.870,"[154, 1571, 1789, 2405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742516152229-220714002.jpeg,ok,37C-20999,,0.976,"[72, 349, 269, 442]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742517134113-827472539.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742517134113-827472539.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742518243368-867200568.jpeg,ocr_empty,,699L2240,0.884,"[120, 362, 225, 388]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742518243368-867200568.jpeg,All OCR texts are empty. Rejected raw OCR: 699L2240
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742519756785-48899934.jpg,ok,15C-12774,,0.945,"[579, 2113, 1655, 2664]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742521649524-272694042.jpg,ok,37H-00891,,0.949,"[755, 2218, 1535, 2576]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742524238719-397299686.jpg,ocr_empty,,14422,0.746,"[1452, 2795, 1870, 3136]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742524238719-397299686.jpg,All OCR texts are empty. Rejected raw OCR: 14422
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742524621218-602244686.jpg,ocr_empty,,6651N,0.946,"[734, 2349, 1442, 2526]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742524621218-602244686.jpg,All OCR texts are empty. Rejected raw OCR: 6651N
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742524726858-347360107.jpg,ok,37CC-46597,,0.892,"[784, 2267, 1323, 2550]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742524962572-732760752.jpg,ok,29C-57061,,0.915,"[917, 648, 1145, 760]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742525110590-733675015.jpg,ok,37FE-00361,,0.931,"[763, 2342, 1439, 2714]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742527816892-990677133.jpeg,ok,20DC-23264,,0.899,"[115, 336, 227, 402]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742530394351-668998573.jpeg,ok,35H-02177,,0.970,"[82, 366, 244, 441]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742532837868-526423445.jpeg,ocr_empty,,156797,0.268,"[18, 334, 305, 405]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742532837868-526423445.jpeg,All OCR texts are empty. Rejected raw OCR: 156797
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742538315952-635299646.jpeg,ok,38N-1962,,0.958,"[72, 324, 287, 429]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742542257091-94292664.jpeg,ocr_empty,,370537,0.930,"[31, 359, 308, 420]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742542257091-94292664.jpeg,All OCR texts are empty. Rejected raw OCR: 370537
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742542293383-960013932.jpg,ok,15E-01765,,0.945,"[317, 838, 545, 969]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742544206898-529274154.jpeg,ok,37C-19815,,0.953,"[37, 327, 287, 417]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742544468763-595561265.jpeg,ocr_empty,,992240,0.965,"[96, 371, 241, 412]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742544468763-595561265.jpeg,All OCR texts are empty. Rejected raw OCR: 992240
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742545144719-668881878.jpg,ocr_empty,,6470,0.873,"[1377, 2250, 1877, 2388]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742545144719-668881878.jpg,All OCR texts are empty. Rejected raw OCR: 6470
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742545884128-487599550.jpeg,ok,43GC-17676,,0.916,"[101, 373, 241, 408]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742547016456-146759871.jpeg,ok,44CG-17676,,0.938,"[85, 364, 256, 406]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742547821972-879197175.jpeg,ok,37H-06497,,0.960,"[113, 351, 240, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742548785688-611757661.jpeg,ok,99C-18202,,0.924,"[116, 352, 220, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742550288459-520299739.jpeg,ok,99C-18202 | , | M7T8202,0.962 | 0.617,"[110, 348, 236, 405] | [0, 395, 210, 600]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742551380928-315595547.jpg,ok,36H-05598,,0.898,"[800, 2215, 1398, 2528]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742551864177-627991600.jpg,ok,37H-03751,,0.976,"[353, 2090, 1723, 2649]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742551892492-11927333.jpg,ok,37H-03751,,0.952,"[526, 2219, 1436, 2642]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742556486249-182202429.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742556486249-182202429.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742556801851-160828856.jpg,ok,98C-30722,,0.384,"[0, 411, 767, 752]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1742557617431-649256390.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1742557617431-649256390.jpg,Pipeline returned no plate result.
